,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,Genre,budget,grossUSA,realgrossUSA
290,Evil Dead II (1987),7.8,69,96,86,Classics,"Budget:$3,600,000 (estimated)","Opening Weekend USA: $807,260, 15 March 1987, Limited Release","Gross USA: $5,923,044"
291,The Birds (1963),7.7,87,98,92,Drama,"Gross USA: $11,403,529",Production Co: Alfred J. Hitchcock Productions See more »,Show more on IMDbPro »
292,The Silence of the Lambs (1991),8.6,85,98,85,Drama,"Budget:$19,000,000 (estimated)","Opening Weekend USA: $13,766,814, 15 February 1991, Wide Release","Gross USA: $130,742,922"
293,Godzilla (2014),6.4,62,98,93,Drama,"Budget:$160,000,000 (estimated)","Opening Weekend USA: $93,205,000, 18 May 2014, Wide Release","Gross USA: $200,676,069"
294,Don't Look Now (1973),7.3,73,96,91,Drama,"Production Co: Casey Productions,Eldorado Films,D.L.N. Ventures Partnership See more »",Show more on IMDbPro »,Runtime: 110 min
295,The Innocents ,6.3,63,96,86,Romance,Show more on IMDbPro »,Runtime: 60 min,Color: Color
296,The Cabin in the Woods (2012),7,72,98,86,Romance,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $14,743,614, 15 April 2012, Wide Release","Gross USA: $42,073,277"
297,A Girl Walks Home Alone at Night (2014),7,81,100,86,Kids & Family,"Production Co: Say Ahh Productions,SpectreVision,Logan Pictures See more »",Show more on IMDbPro »,Runtime: 101 min
298,Drag Me to Hell (2009),6.6,83,100,90,Drama,"Budget:$30,000,000 (estimated)","Opening Weekend USA: $15,825,480, 31 May 2009, Wide Release","Gross USA: $42,100,625"
299,Carrie (1976),7.4,85,98,79,Drama,"Budget:$1,800,000 (estimated)","Gross USA: $33,800,000",Production Co: Red Bank Films See more »
300,The Evil Dead (1981),7.5,70,100,94,Drama,Show more on IMDbPro »,Runtime: 85 min | 70 min (FSK 16),Sound Mix: Mono | DTS (re-mastered version)| Dolby (5.1)
301,Young Frankenstein (1974),8,80,99,92,Drama,"Gross USA: $86,300,000","Production Co: Gruskoff/Venture Films,Crossbow Productions,Jouer Limited See more »",Show more on IMDbPro »
302,Re-Animator (1985),7.2,72,97,93,Mystery & Suspense,"Budget:$900,000 (estimated)","Opening Weekend USA: $543,728, 20 October 1985, Limited Release","Gross USA: $2,023,414"
303,The Loved Ones (2009),6.7,67,99,86,Mystery & Suspense,"Production Co: Darclight Films International,Screen Australia,Omnilab Media See more »",Show more on IMDbPro »,Runtime: 84 min
304,Train to Busan (2016),7.5,72,97,95,Mystery & Suspense,"Budget:KRW 10,000,000,000 (estimated)","Opening Weekend USA: $284,776, 22 July 2016, Limited Release","Gross USA: $2,129,768, 27 January 2017"
305,Nosferatu the Vampyre (1979),7.6,76,98,98,Drama,"Production Co: Werner Herzog Filmproduktion,Gaumont,Zweites Deutsches Fernsehen (ZDF) See more »",Show more on IMDbPro »,Runtime: 107 min | 96 min (theatrical)
306,The Love Witch (2016),6.2,82,97,80,Drama,"Opening Weekend USA: $160,747, 3 January 2016","Gross USA: $228,894, 7 April 2017",Production Co: Anna Biller Productions See more »
307,Room 237 (2012),6.2,80,99,95,Art House & International,"Gross USA: $259,765, 12 May 2013",Production Co: Highland Park Classics See more »,Show more on IMDbPro »
308,A Nightmare on Elm Street (1984),7.5,76,94,82,Drama,"Opening Weekend USA: $1,271,000, 11 November 1984, Limited Release","Gross USA: $25,504,513","Production Co: New Line Cinema,Media Home Entertainment,Smart Egg Pictures See more »"
309,The Host (2013),5.9,35,95,90,Drama,"Budget:$40,000,000 (estimated)","Opening Weekend USA: $10,600,112, 31 March 2013, Wide Release","Gross USA: $26,627,201"
310,The Fly (1986),7.5,79,96,90,Mystery & Suspense,"Opening Weekend USA: $7,007,423, 17 August 1986, Wide Release","Gross USA: $40,456,565","Cumulative Worldwide Gross: $20,172,594"
311,Shaun of the Dead (2004),7.9,76,98,95,Mystery & Suspense,"Budget:£4,000,000 (estimated)","Opening Weekend: £1,603,410 (United Kingdom), 11 April 2004, Limited Release","Opening Weekend USA: $3,330,781, 26 September 2004, Wide Release"
312,Zombieland (2009),7.7,73,100,95,Mystery & Suspense,"Budget:$23,600,000 (estimated)","Opening Weekend USA: $24,733,155, 4 October 2009, Wide Release","Gross USA: $75,590,286"
313,Bram Stoker's Dracula (1992),7.5,57,95,80,Drama,"Opening Weekend USA: $30,521,679, 15 November 1992, Wide Release","Gross USA: $82,522,790","Cumulative Worldwide Gross: $215,862,692, 31 December 1993"
314,What Ever Happened to Baby Jane? (1962),8.1,81,97,94,Drama,"Budget:$980,000 (estimated)","Cumulative Worldwide Gross: $9,000,000, 31 December 1963",Production Co: The Associates & Aldrich Company See more »
315,It Comes at Night (2017),6.2,78,93,86,Drama,"Budget:$5,000,000 (estimated)","Opening Weekend USA: $5,988,370, 9 June 2017, Wide Release","Gross USA: $13,985,117"
316,Dawn of the Dead (2004),7.3,59,98,94,Drama,"Budget:$26,000,000 (estimated)","Opening Weekend USA: $26,722,575, 21 March 2004, Wide Release","Gross USA: $59,020,957"
317,The Phantom of the Opera (1925),7.7,77,98,93,Mystery & Suspense,Production Co: Universal Pictures See more »,Show more on IMDbPro »,Runtime: 93 min | 101 min (original) | 92 min (1995) | 107 min (DVD) | 106 min (Ontario) | 95 min (1929 re-release)
318,Don't Breathe (2016),7.1,71,95,77,Drama,"Budget:$9,900,000 (estimated)","Opening Weekend USA: $26,411,706, 28 August 2016, Wide Release","Gross USA: $89,217,875"
319,We Are Still Here (2015),5.7,65,96,92,Drama,"Production Co: Snowfort Pictures,Dark Sky Films See more »",Show more on IMDbPro »,Runtime: 84 min
320,The Wicker Man (1973),7.6,87,100,95,Drama,"Budget:£500,000 (estimated)","Opening Weekend USA: $5,493, 29 September 2013, Limited Release","Gross USA: $60,891, 10 January 2014"
321,The Texas Chain Saw Massacre (1974),7.5,75,100,93,Drama,"Budget:$300,000 (estimated)","Gross USA: $30,859,000",Production Co: Vortex See more »
322,The Blair Witch Project (1999),6.4,81,100,97,Drama,"Budget:$60,000 (estimated)","Opening Weekend USA: $1,512,054, 18 July 1999, Limited Release","Gross USA: $140,539,099"
323,The Conjuring (2013),7.5,68,97,88,Drama,"Budget:$20,000,000 (estimated)","Opening Weekend USA: $41,855,326, 21 July 2013, Wide Release","Gross USA: $137,400,141"
324,The Exorcist (1973),8,82,97,94,Art House & International,"Production Co: Warner Bros.,Hoya Productions See more »",Show more on IMDbPro »,Runtime: 122 min | 132 min (director's cut)
325,The Dead Zone (1983),7.2,69,98,90,Mystery & Suspense,"Opening Weekend USA: $4,556,083, 23 October 1983, Wide Release","Gross USA: $20,766,000","Production Co: Dino De Laurentiis Company,Lorimar Film Entertainment See more »"
326,Let Me In (2010),7.1,79,97,87,Drama,"Opening Weekend USA: $5,147,479, 4 October 2010, Wide Release","Gross USA: $12,134,420, 5 December 2010","Production Co: Overture Films,Exclusive Media Group,Hammer Films See more »"
327,28 Days Later... (2002),7.6,73,98,72,Drama,"Opening Weekend: £1,500,079 (United Kingdom), 3 November 2002, Limited Release","Opening Weekend USA: $10,061,858, 29 June 2003, Wide Release","Gross USA: $45,064,915"
328,Misery (1990),7.8,75,100,91,Art House & International,"Opening Weekend USA: $10,076,834, 2 December 1990, Wide Release","Gross USA: $61,276,872","Production Co: Castle Rock Entertainment,Nelson Entertainment See more »"
329,The Shining (1980),8.4,63,98,93,Art House & International,"Budget:$19,000,000 (estimated)","Opening Weekend USA: $622,337, 26 May 1980, Limited Release","Gross USA: $44,017,374, 31 December 1980"
330,Cronos (1993),6.7,70,94,94,Drama,"Gross USA: $621,392","Production Co: CNCAIMC,Fondo de Fomento a la Calidad Cinematográfica,Grupo Del Toro See more »",Show more on IMDbPro »
331,Bone Tomahawk (2015),7.1,72,98,88,Drama,"Production Co: Caliber Media Company,Platinum Platypus,Realmbuilders Productions See more »",Show more on IMDbPro »,Runtime: 132 min
332,The Orphanage (2007),7.5,74,99,94,Drama,"Budget:€3,400,000 (estimated)","Opening Weekend: €5,247,378 (Spain), 14 October 2007, Limited Release","Opening Weekend USA: $338,024, 30 December 2007, Limited Release"
333,The Devil's Candy (2015),6.4,72,100,95,Drama,Show more on IMDbPro »,Runtime: 79 min | 90 min (Festival Cut),Color: Color
334,Gerald's Game (2017),6.6,77,100,93,Art House & International,Production Co: Intrepid Pictures See more »,Show more on IMDbPro »,Runtime: 103 min
335,Chronicle (2012),7.1,69,97,90,Drama,"Budget:$12,000,000 (estimated)","Opening Weekend USA: $22,004,098, 5 February 2012, Wide Release","Gross USA: $64,575,175"
336,An American Werewolf in London (1981),7.6,60,95,73,Drama,"Opening Weekend USA: $3,786,512, 23 August 1981, Wide Release","Gross USA: $30,565,292","Cumulative Worldwide Gross: $60,565,292"
337,Near Dark (1987),7,70,100,88,Drama,"Gross USA: $3,369,307","Production Co: F/M,Near Dark Joint Venture See more »",Show more on IMDbPro »
338,Poltergeist (1982),7.4,79,95,89,Drama,"Opening Weekend USA: $6,896,612, 6 June 1982, Wide Release","Gross USA: $76,606,280","Cumulative Worldwide Gross: $123,606,280"
339,Henry: Portrait of a Serial Killer (1986),7,80,96,89,Drama,"Gross USA: $609,939",Production Co: Maljack Productions See more »,Show more on IMDbPro »
340,The Descent (2005),7.2,71,97,84,Drama,"Budget:£3,500,000 (estimated)","Opening Weekend: £570,850 (United Kingdom), 10 July 2005, Limited Release","Opening Weekend USA: $8,911,330, 6 August 2006, Wide Release"
341,The Omen (1976),7.6,62,100,90,Drama,"Opening Weekend USA: $4,273,886, 27 June 1976, Limited Release","Gross USA: $60,922,980, 31 December 1976","Production Co: Twentieth Century Fox,Harvey Bernhard Productions,Mace Neufeld Productions See more »"
342,Ginger Snaps (2000),6.8,70,97,97,Mystery & Suspense,"Opening Weekend USA: $1,430, 28 October 2001, Limited Release","Gross USA: $2,554, 1 November 2001","Production Co: Copperheart Entertainment,Water Pictures,Motion International See more »"
343,Slither (2006),6.5,69,94,94,Drama,"Budget:$15,500,000 (estimated)","Opening Weekend USA: $3,880,270, 2 April 2006","Gross USA: $7,774,730, 23 April 2006"
344,The Autopsy of Jane Doe (2016),6.8,65,96,71,Drama,"Production Co: 42,IM Global,Impostor Pictures See more »",Show more on IMDbPro »,Runtime: 86 min
345,A Field in England (2013),6.3,73,93,93,Drama,"Opening Weekend USA: $9,498, 7 February 2014, Limited Release","Gross USA: $30,716, 16 March 2014","Production Co: Film4,Rook Films See more »"
346,Backcountry (2014),6,62,100,85,Drama,"Production Co: Fella Films,Northern Ontario Heritage Fund,Téléfilm Canada See more »",Show more on IMDbPro »,Runtime: 92 min
347,Altered States (1980),6.9,58,100,90,Drama,"Gross USA: $19,853,892",Production Co: Warner Bros. See more »,Show more on IMDbPro »
348,Goodnight Mommy (2014),6.7,81,94,93,Drama,"Gross USA: $1,168,902, 15 November 2015",Production Co: Ulrich Seidl Film Produktion GmbH See more »,Show more on IMDbPro »
349,The House of the Devil (2009),6.4,73,92,93,Drama,"Budget:$900,000 (estimated)","Opening Weekend USA: $25,195, 30 October 2009, Limited Release","Gross USA: $100,659, 27 December 2009"
350,Spring (2014),6.7,70,98,82,Drama,"Opening Weekend USA: $19,675, 22 March 2015, Limited Release","Gross USA: $48,949, 10 May 2015","Production Co: Rustic Films,XYZ Films See more »"
351,Gremlins (1984),7.2,70,100,88,Western,"Budget:$11,000,000 (estimated)","Opening Weekend USA: $12,511,000, 10 June 1984, Wide Release","Gross USA: $148,170,000"
352,Paranormal Activity (2007),6.3,68,95,85,Mystery & Suspense,"Budget:$15,000 (estimated)","Opening Weekend USA: $77,873, 27 September 2009, Limited Release","Gross USA: $107,918,810"
353,The Thing (1982),8.1,57,94,91,Drama,"Opening Weekend USA: $3,107,897, 27 June 1982, Wide Release","Gross USA: $13,782,838","Production Co: Universal Pictures,Turman-Foster Company See more »"
354,We Are What We Are (2013),5.9,71,100,70,Art House & International,"Opening Weekend USA: $13,727, 29 September 2013, Limited Release","Gross USA: $76,633, 27 October 2013","Production Co: Belladonna Productions,Memento Films International,Paradise City See more »"
355,They Live (1988),7.3,52,94,95,Drama,"Opening Weekend USA: $4,827,000, 6 November 1988, Wide Release","Gross USA: $13,008,928","Production Co: Alive Films,Larry Franco Productions See more »"
356,Beetlejuice (1988),7.5,69,97,90,Drama,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $8,000,000, 3 April 1988","Gross USA: $73,707,461"
357,The Conjuring 2 (2016),7.4,65,95,82,Drama,"Budget:$40,000,000 (estimated)","Opening Weekend USA: $40,406,314, 12 June 2016, Wide Release","Gross USA: $102,470,008"
358,Dressed to Kill (1980),7.1,74,97,97,Drama,"Budget:$6,500,000 (estimated)","Gross USA: $31,899,000","Production Co: Filmways Pictures,Cinema 77 Films See more »"
359,The Others (2001),7.6,74,98,93,Drama,"Budget:$17,000,000 (estimated)","Opening Weekend USA: $14,089,952, 12 August 2001, Wide Release","Gross USA: $96,522,687"
360,I Am Not Your Negro (2016),7.8,95,96,95,Drama,"Gross USA: $7,120,626, 2 June 2017","Production Co: ARTE France,Independent Lens,RTBF (Télévision belge) See more »",Show more on IMDbPro »
361,Man on Wire (2008),7.8,89,98,90,Drama,"Budget:£1,000,000 (estimated)","Opening Weekend USA: $51,392, 27 July 2008, Limited Release","Gross USA: $2,957,978, 1 March 2009"
362,Life Itself (2018),5.8,21,98,86,Drama,"Gross USA: $4,095,431, 11 October 2018","Production Co: FilmNation Entertainment,Nostromo Pictures,Temple Hill Entertainment See more »",Show more on IMDbPro »
363,20 Feet from Stardom (2013),7.4,83,97,60,Drama,"Opening Weekend USA: $54,596, 16 June 2013, Limited Release","Gross USA: $4,946,445","Cumulative Worldwide Gross: $5,892,661"
364,The Last Waltz (1978),8.2,88,95,90,Drama,"Opening Weekend USA: $16,151, 7 April 2002, Limited Release","Gross USA: $321,952, 27 May 2002","Production Co: FM Productions,Last Waltz Inc. See more »"
365,Judging Amy ,7,70,98,95,Western,"Production Co: Barbara Hall/Joseph Stern Productions,CBS Productions,Joseph Stern Productions See more »",Show more on IMDbPro »,Runtime: 60 min
366,Taxi to the Dark Side (2007),7.5,82,97,85,Drama,"Opening Weekend USA: $13,656, 20 January 2008, Limited Release","Gross USA: $274,661, 1 June 2008","Production Co: Discovery Channel,Jigsaw Productions,Tall Woods See more »"
367,The Cat in the Hat (2003),3.8,19,97,56,Drama,"Budget:$109,000,000 (estimated)","Opening Weekend USA: $38,329,160, 23 November 2003, Wide Release","Gross USA: $101,149,285"
368,Into the Badlands ,8.1,81,96,94,Drama,Show more on IMDbPro »,Runtime: 42 min,Sound Mix: Stereo
369,The Manchurian Candidate (2004),6.6,76,97,92,Drama,"Budget:$80,000,000 (estimated)","Opening Weekend USA: $20,018,620, 1 August 2004, Wide Release","Gross USA: $65,955,630"
370,Eyes Without a Face (1960),7.8,90,99,95,Drama,"Gross USA: $52,709, 30 November 2003","Production Co: Champs-Élysées Productions,Lux Film See more »",Show more on IMDbPro »
371,The Conversation (1974),7.9,86,100,91,Art House & International,"Gross USA: $4,420,000","Production Co: The Directors Company,The Coppola Company,American Zoetrope See more »",Show more on IMDbPro »
372,Goldfinger (1964),7.7,87,100,89,Horror,"Opening Weekend: £42,113 (United Kingdom), 26 September 1964, Limited Release","Gross USA: $51,081,062","Cumulative Worldwide Gross: $73,800,000"
373,Eye in the Sky (2015),7.3,73,97,87,Horror,"Budget:$13,000,000 (estimated)","Opening Weekend USA: $113,803, 13 March 2016, Limited Release","Gross USA: $18,700,837, 17 July 2016"
374,Casino Royale (2006),8,80,97,66,Horror,"Budget:$150,000,000 (estimated)","Opening Weekend: £13,370,969 (United Kingdom), 19 November 2006, Limited Release","Opening Weekend USA: $40,833,156, 19 November 2006, Wide Release"
375,Blood Simple. (1984),7.6,81,97,87,Horror,"Opening Weekend USA: $42,971, 9 July 2000, Limited Release","Gross USA: $2,150,000","Production Co: River Road Productions,Foxton Entertainment See more »"
376,Bridge of Spies (2015),7.6,81,91,57,Horror,"Budget:$40,000,000 (estimated)","Opening Weekend USA: $15,371,203, 18 October 2015, Wide Release","Gross USA: $72,313,754"
377,The Road Warrior (1981),7.6,77,95,91,Drama,"Opening Weekend: AUD 847,220 (Australia), 31 December 1981, Limited Release","Opening Weekend USA: $2,527,864, 23 May 1982, Wide Release","Gross USA: $12,465,371"
378,Burlesque (2010),6.4,47,98,89,Drama,"Budget:$55,000,000 (estimated)","Opening Weekend USA: $11,947,744, 28 November 2010, Wide Release","Gross USA: $39,440,655, 6 February 2011"
379,Jurassic Park (1993),8.1,68,96,83,Drama,"Budget:$63,000,000 (estimated)","Opening Weekend USA: $50,159,460, 13 June 1993","Gross USA: $402,453,882"
380,Elevator to the Gallows (1958),8,94,95,95,Mystery & Suspense,"Opening Weekend USA: $7,354, 26 June 2005, Limited Release","Gross USA: $109,257, 16 December 2016",Production Co: Nouvelles Éditions de Films (NEF) See more »
381,Ex Machina (2014),7.7,78,93,89,Action & Adventure,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $250,000, 12 April 2015, Limited Release","Gross USA: $25,442,958"
382,Three Colors: Blue (1993),8,85,95,89,Mystery & Suspense,"Gross USA: $1,324,974","Production Co: MK2 Productions,CED Productions,France 3 Cinéma See more »",Show more on IMDbPro »
383,In the Heat of the Night ,7.5,75,96,77,Horror,Show more on IMDbPro »,Runtime: 60 min (150 episodes),Sound Mix: Stereo
384,Blue Ruin (2013),7.1,77,98,88,Drama,"Budget:$1,066,167 (estimated)","Opening Weekend USA: $32,608, 27 April 2014, Limited Release","Gross USA: $258,113, 22 June 2014"
385,Blue Velvet (1986),7.8,76,96,86,Horror,"Budget:$6,000,000 (estimated)","Opening Weekend USA: $789,409, 21 September 1986, Limited Release","Gross USA: $8,551,228"
386,To Catch a Thief (1955),7.5,75,91,74,Mystery & Suspense,"Gross USA: $8,750,000",Production Co: Paramount Pictures See more »,Show more on IMDbPro »
387,The Imitation Game (2014),8,73,96,75,Horror,"Budget:$14,000,000 (estimated)","Opening Weekend USA: $479,352, 28 November 2014, Limited Release","Gross USA: $91,125,683"
388,Gone Girl (2014),8.1,79,92,62,Mystery & Suspense,"Budget:$61,000,000 (estimated)","Opening Weekend USA: $37,513,109, 5 October 2014, Wide Release","Gross USA: $167,767,189"
389,Wild Tales (2014),8.1,77,94,81,Horror,"Budget:$3,300,000 (estimated)","Opening Weekend USA: $85,100, 22 February 2015, Limited Release","Gross USA: $3,107,072"
390,10 Cloverfield Lane (2016),7.2,76,93,76,Horror,"Budget:$15,000,000 (estimated)","Opening Weekend USA: $24,702,752, 13 March 2016, Wide Release","Gross USA: $71,897,215, 22 May 2016"
391,Children of Men (2006),7.9,84,95,84,Science Fiction & Fantasy,"Budget:$76,000,000 (estimated)","Opening Weekend: £1,284,254 (United Kingdom), 24 September 2006, Limited Release","Opening Weekend USA: $179,268, 24 December 2006"
392,The Crying Game (1992),7.3,90,93,92,Horror,"Budget:£2,300,000 (estimated)","Opening Weekend USA: $101,107, 29 November 1992, Limited Release","Gross USA: $62,549,000"
393,The Dark Knight Rises (2012),8.4,78,95,82,Horror,"Budget:$250,000,000 (estimated)","Opening Weekend: £14,362,443 (United Kingdom), 22 July 2012, Limited Release","Opening Weekend USA: $160,887,295, 22 July 2012, Wide Release"
394,The Umbrellas of Cherbourg (1964),7.9,86,98,74,Horror,"Gross USA: $18,425, 16 February 2004","Production Co: Parc Film,Madeleine Films,Beta Film See more »",Show more on IMDbPro »
395,Sing Street (2016),8,79,96,88,Action & Adventure,"Opening Weekend USA: $63,573, 17 April 2016, Limited Release","Gross USA: $3,237,118","Cumulative Worldwide Gross: $13,624,522"
396,Once (2007),7.9,88,94,83,Art House & International,"Budget:€180,000 (estimated)","Opening Weekend USA: $61,901, 20 May 2007, Limited Release","Gross USA: $9,439,923"
397,Anvil: The Story of Anvil (2008),7.9,82,95,60,Drama,"Opening Weekend USA: $34,651, 12 April 2009, Limited Release","Gross USA: $666,659, 20 September 2009",Show more on IMDbPro »
398,West Side Story (1961),7.6,86,94,55,Documentary,"Gross USA: $43,656,822","Production Co: The Mirisch Corporation,Seven Arts Productions See more »",Show more on IMDbPro »
399,Waste Land (2010),7.9,78,94,83,Mystery & Suspense,"Budget:$1,500,000 (estimated)","Opening Weekend USA: $8,656, 5 November 2010, Limited Release","Gross USA: $187,716"
400,Amadeus (1984),8.3,93,93,72,Drama,"Budget:$18,000,000 (estimated)","Opening Weekend USA: $505,276, 23 September 1984, Limited Release","Gross USA: $51,973,029"
401,Afghan Star (2009),7.3,78,92,83,Drama,"Opening Weekend USA: $3,671, 28 June 2009, Limited Release","Gross USA: $101,543, 18 October 2009","Production Co: Aria Productions,Roast Beef Productions,Redstart Media See more »"
402,Hairspray (2007),6.7,81,92,93,Action & Adventure,"Opening Weekend USA: $27,476,745, 20 July 2007, Limited Release","Gross USA: $118,871,849","Cumulative Worldwide Gross: $202,548,575"
403,Sound City (2013),7.8,76,90,86,Horror,"Opening Weekend USA: $62,842, 3 February 2013, Limited Release","Gross USA: $422,417, 20 December 2013","Production Co: Therapy Content,Roswell Films See more »"
404,We Are the Best! (2013),7.2,87,91,81,Classics,"Opening Weekend USA: $17,664, 30 May 2014, Limited Release","Gross USA: $180,222, 5 September 2014","Production Co: Film i Väst,Memfis Film See more »"
405,My Fair Lady (1964),7.9,79,92,92,Drama,"Budget:$17,000,000 (estimated)","Gross USA: $72,000,000",Production Co: Warner Bros. See more »
406,Bill Cunningham: New York (2010),7.9,76,87,44,Drama,"Opening Weekend USA: $33,677, 20 March 2011, Limited Release","Gross USA: $1,510,026, 18 November 2011",Production Co: First Thought Films See more »
407,Beware of Mr. Baker (2012),7.7,78,93,90,Drama,"Gross USA: $114,271, 3 March 2013",Production Co: Insurgent Media See more »,Show more on IMDbPro »
408,Keep on Keepin' On (2014),7.7,77,91,83,Drama,Show more on IMDbPro »,Runtime: 84 min,Color: Color
409,Wordplay (2006),7.4,73,88,78,Drama,"Opening Weekend USA: $32,847, 18 June 2006, Limited Release","Gross USA: $3,117,666, 22 October 2006","Production Co: Grinder Productions,O'Malley Creadon Productions,The Weinstein Company See more »"
410,Muscle Shoals (2013),7.7,75,95,48,Drama,"Opening Weekend USA: $13,901, 29 September 2013, Limited Release","Gross USA: $695,625, 9 March 2014",Production Co: Ear Goggles See more »
411,The Full Monty (1997),7.2,75,90,82,Drama,"Budget:$3,500,000 (estimated)","Opening Weekend USA: $244,375, 17 August 1997, Limited Release","Gross USA: $45,950,122"
412,Marley (2012),8,82,88,81,Classics,"Gross USA: $1,413,480","Cumulative Worldwide Gross: $5,319,734","Production Co: Shangri-La Entertainment,Tuff Gong Pictures,Cowboy Films See more »"
413,Searching for Sugar Man (2012),8.2,79,87,70,Classics,"Opening Weekend USA: $27,459, 29 July 2012, Limited Release","Gross USA: $3,965,090","Cumulative Worldwide Gross: $9,637,687"
414,The Beaches of Agnès (2008),8,86,87,56,Classics,"Opening Weekend USA: $2,948, 7 August 2009, Limited Release","Gross USA: $239,711, 22 August 2010","Production Co: Ciné Tamaris,Arte France Cinéma,Canal+ See more »"
415,Exit Through the Gift Shop (2010),8,85,86,83,Mystery & Suspense,"Opening Weekend USA: $170,756, 18 April 2010, Limited Release","Gross USA: $3,291,250","Cumulative Worldwide Gross: $7,132,689"
416,"20,000 Days on Earth (2014)",7.5,83,86,87,Classics,"Opening Weekend USA: $27,879, 19 September 2014, Limited Release","Gross USA: $277,770, 2 January 2015","Production Co: Corniche Pictures,British Film Institute (BFI),Film4 See more »"
417,Nashville ,7.7,77,90,76,Horror,Show more on IMDbPro »,Runtime: 43 min,Sound Mix: Stereo | Dolby Digital
418,Crumb (1994),8,93,87,76,Drama,"Gross USA: $3,174,695",Production Co: Superior Pictures See more »,Show more on IMDbPro »
419,Marina Abramovic: The Artist Is Present (2012),7.9,74,87,85,Drama,"Opening Weekend USA: $11,041, 17 June 2012, Limited Release","Gross USA: $86,217, 7 October 2012","Production Co: Show of Force,AVRO Close Up,Dakota Group See more »"
420,Los Angeles Plays Itself (2003),8,86,89,89,Drama,Show more on IMDbPro »,Runtime: 169 min,Color: Black and White | Color
421,49 Up (2005),8.2,84,86,93,Drama,"Gross USA: $238,073, 24 November 2006",Production Co: Granada Television See more »,Show more on IMDbPro »
422,Straight Outta Compton (2015),7.9,72,90,70,Drama,"Budget:$28,000,000 (estimated)","Opening Weekend USA: $56,100,000, 16 August 2015, Wide Release","Gross USA: $161,197,785"
423,Lagaan: Once Upon a Time in India (2001),8.1,84,90,73,Western,"Budget:$6,000,000 (estimated)","Opening Weekend USA: $285,368, 17 June 2001, Limited Release","Gross USA: $70,147, 16 June 2002"
424,Hedwig and the Angry Inch (2001),7.8,85,87,86,Drama,"Budget:$6,000,000 (estimated)","Opening Weekend USA: $156,724, 22 July 2001, Limited Release","Gross USA: $3,029,081, 30 September 2001"
425,Crazy Heart (2009),7.3,83,91,64,Drama,"Budget:$7,000,000 (estimated)","Opening Weekend USA: $82,664, 20 December 2009, Limited Release","Gross USA: $39,462,438, 30 May 2010"
426,My Kid Could Paint That (2007),7.2,74,90,72,Drama,"Gross USA: $231,274, 3 February 2008","Production Co: A&E IndieFilms,Axis Films,British Broadcasting Corporation (BBC) See more »",Show more on IMDbPro »
427,End of the Century (2003),8,74,86,71,Drama,"Opening Weekend USA: $18,422, 22 August 2004, Limited Release","Gross USA: $391,950, 19 December 2004","Production Co: Chinagraph,Gugat Films,Kessel Brothers International See more »"
428,Dave Chappelle's Block Party (2005),7.2,84,88,85,Horror,"Budget:$3,000,000 (estimated)","Opening Weekend USA: $6,214,723, 5 March 2006, Wide Release","Gross USA: $11,694,528, 2 April 2006"
429,The Sapphires (2012),7.1,67,88,74,Western,"Budget:$10,000,000 (estimated)","Opening Weekend USA: $38,372, 24 March 2013, Limited Release","Gross USA: $2,448,455, 21 July 2013"
430,U2 3D (2007),8.4,83,86,78,Horror,"Opening Weekend USA: $964,315, 27 January 2008, Limited Release","Gross USA: $10,353,690, 8 August 2010",Production Co: 3ality Digital Entertainment See more »
431,A Band Called Death (2012),7.5,77,86,71,Drama,"Production Co: Haven Entertainment,Picture Machine See more »",Show more on IMDbPro »,Runtime: 96 min
432,Florence Foster Jenkins (2016),6.8,71,85,75,Horror,"Budget:$29,000,000 (estimated)","Opening Weekend USA: $6,601,313, 12 August 2016, Wide Release","Gross USA: $27,370,107, 23 October 2016"
433,The Sound of Music (1965),8,63,86,80,Horror,"Budget:$8,200,000 (estimated)","Gross USA: $163,214,286","Cumulative Worldwide Gross: $286,214,286"
434,Scratch (2001),7.9,77,89,78,Horror,"Production Co: Firewalks Film,Magic Lamp,Ridgeway Entertainment See more »",Show more on IMDbPro »,Runtime: 92 min
435,Shine (1996),7.7,87,86,63,Horror,"Budget:$5,500,000 (estimated)","Opening Weekend USA: $162,179, 24 November 1996, Limited Release","Gross USA: $35,811,509, 30 May 1997"
436,Caesar Must Die (2012),7.3,77,87,69,Art House & International,"Production Co: Kaos Cinematografica,Stemal Entertainment,Le Talee See more »",Show more on IMDbPro »,Runtime: 77 min
437,Sid and Nancy (1986),7.1,76,88,58,Drama,"Budget:$4,000,000 (estimated)","Gross USA: $2,826,523","Production Co: Initial Pictures,U.K. Productions Entity,Zenith Entertainment See more »"
438,Five Easy Pieces (1970),7.5,85,89,54,Drama,"Gross USA: $18,099,091, 31 December 1971","Production Co: BBS Productions,Columbia Pictures Corporation,Five Easy Pieces Productions See more »",Show more on IMDbPro »
439,Buena Vista Social Club (1999),7.6,81,86,71,Drama,"Opening Weekend USA: $127,370, 6 June 1999, Limited Release","Gross USA: $6,997,620, 30 January 2000","Production Co: Road Movies Filmproduktion,Kintop Pictures,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC) See more »"
